checkpoint,context_fid,laplace_b
audio2latent_conv_steps6192000_val0.0431,62.42147445678711,0.03324457122093023
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps123840_val0.0416,55.17697525024414,0.030749313226744186
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps247680_val0.0430,54.5181770324707,0.03166941497093023
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps371520_val0.0440,55.56657028198242,0.03244698037790698
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps495360_val0.0439,54.71892547607422,0.03371802325581395
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps619200_val0.0441,55.191314697265625,0.03349918604651163
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps743040_val0.0437,55.861907958984375,0.032665886627906975
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps866880_val0.0438,55.08975601196289,0.03353203851744186
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps990720_val0.0438,56.0206184387207,0.03343292514534884
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1114560_val0.0441,55.219058990478516,0.0331561773255814
audio2latent_backbone:conv_layerwise:conv_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1238400_val0.0435,56.382423400878906,0.033123125
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps123840_val0.0410,52.42960739135742,0.030951838662790696
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps247680_val0.0427,52.68623352050781,0.03285251816860465
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps371520_val0.0447,52.75089645385742,0.035437125726744186
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps495360_val0.0460,51.78444290161133,0.0376661300872093
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps619200_val0.0467,52.30400848388672,0.038488459302325584
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps743040_val0.0470,52.255340576171875,0.03867622819767442
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps866880_val0.0478,51.46962356567383,0.040025981104651165
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps990720_val0.0480,51.4227294921875,0.041227122093023254
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1114560_val0.0494,51.21870040893555,0.042634127906976745
audio2latent_backbone:gru_layerwise:conv:6_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps1238400_val0.0499,51.014183044433594,0.04319805959302325
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps123840_val0.0384,53.48503494262695,0.025340859375
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps247680_val0.0392,52.91444778442383,0.027628059593023255
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps371520_val0.0401,52.11504364013672,0.028428548328488373
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps495360_val0.0405,51.43800354003906,0.02875819949127907
audio2latent_backbone:gru_layerwise:dense:18_hidden_size:32_num_layers:8_dropout:0.2_lr:0.0001_wd:0_steps619200_val0.0412,50.93099594116211,0.030531337209302324
